"","거래일자","종목명","종가"
"549",20210104,"머큐리",9220
"550",20210104,"멀티캠퍼스",34900
"551",20210104,"메가스터디",11400
"552",20210104,"메가스터디교육",40650
"553",20210104,"메가엠디",3955
"554",20210104,"메드팩토",114000
"555",20210104,"메디쎄이",9540
"556",20210104,"메디아나",16100
"557",20210104,"메디안디노스틱",40000
"558",20210315,"메디앙스",7930
"559",20210104,"메디젠휴먼케어",8800
"560",20210104,"메디콕스",1890
"561",20210104,"메디톡스",170700
"562",20210104,"메디포스트",35050
"563",20210104,"메디프론디비티",4025
"564",20210104,"메리츠금융지주회사보통주",9680
"565",20210104,"메리츠증권보통주",3615
"566",20210104,"메리츠화재해상보험보통주",14250
"567",20210104,"메지온",172800
"568",20210104,"메카로",14550
"569",20210104,"메타랩스보통주",1045
"570",20210104,"메타바이오메드",2820
"571",20210104,"메탈라이프",30350
"572",20210104,"멕아이씨에스",36900
"573",20210104,"멜파스",1805
"574",20210104,"명문제약 보통주",7520
"575",20210104,"명신산업보통주",48400
"576",20210104,"명진홀딩스",1880
"577",20210104,"모나리자보통주",4990
"578",20210104,"모나미보통주",5840
"579",20210104,"모다이노칩",3820
"580",20210104,"모두투어네트워크",20700
"581",20210104,"모두투어리츠보통주",2995
"582",20210104,"모바일리더",18650
"583",20210104,"모바일어플라이언스",5260
"584",20210104,"모베이스",3935
"585",20210104,"모베이스전자",2510
"586",20210104,"모비스",2575
"587",20210104,"모아텍",12300
"588",20210104,"모토닉보통주",12050
"589",20210104,"모트렉스",7200
"590",20210104,"모헨즈",4790
"591",20210104,"무림에스피",3260
"592",20210104,"무림페이퍼보통주",2715
"593",20210104,"무림피앤피보통주",3665
"594",20210104,"무진메디",6150
"595",20210104,"무학보통주",7040
"596",20210104,"문배철강보통주",3490
"597",20210104,"미디어젠",9770
"598",20210104,"미래나노텍",3360
"599",20210104,"미래산업보통주",3110
"600",20210104,"미래생명자원",3005
"601",20210104,"미래에셋대우",9500
"602",20210104,"미래에셋대우기업인수목적 5호",2110
"603",20210104,"미래에셋대우기업인수목적3호",2070
"604",20210205,"미래에셋대우기업인수목적4호",3145
"605",20210104,"미래에셋맵스리츠보통주",4720
